Coordinates,State,County or Parish,Company,Facility,Project,Type,Status,Sector,Potential CO2e (tons/year),Estimated population - 3 miles,Percent people of color - 3 miles,Percent low income - 3 miles
"-97.49595, 27.834238",TX,Nueces,Corpus Christi Polymers LLC,Corpus Christi Polymer Plant,Project Jumbo – M&G PET Plant,Plastic Resin Manufacturing,Under construction,Petrochemicals and Plastics,438273,5217,82,50
"-97.49595, 27.834238",TX,Nueces,Corpus Christi Polymers LLC,Corpus Christi Polymer Plant,Project Jumbo – M&G Utilities Plant,Associated Electricity Generation,Under construction,Petrochemicals and Plastics,726360,5217,82,50
"-96.016402, 28.860456",TX,Matagorda,Roehm America LLC,Roehm America Bay City MMA Plant,Roehm Bay City MMA Plant - Initial Construction,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,281297.05,,,
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - PDH I,Propylene Dehydrogenation (PDH) Plant,Operating,Petrochemicals and Plastics,1512124,2380,31,23
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - PDH II,Propylene Dehydrogenation (PDH) Plant,Pre-construction,Petrochemicals and Plastics,600086,2380,31,23
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - Frac VII and VIII,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,205256,2380,31,23
"-94.899946, 29.84055",TX,Chambers,Targa Midstream Services LLC,Targa Mont Belvieu Complex,Targa Fractionation Train 5,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,160241,7252,40,26
"-94.896099, 29.850984",TX,Chambers,Lone Star NGL Fractionators LLC,Lone Star Mont Belvieu Fractionator,Lone Star Frac I and II,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,626882,6918,34,25
"-94.890113, 29.860226",TX,Chambers,ONEOK Hydrocarbon LP,ONEOK Mont Belvieu NGL Fractionation Plant,ONEOK Mont Belvieu - Fractionation Trains 3 & 4,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,466049,5428,23,22
"-94.916054, 29.874817",TX,Chambers,ExxonMobil Chemical Company,ExxonMobil Chemical Mont Belvieu Plastics Plant,Mont Belvieu Polyethylene Unit Expansion,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,138216,1573,24,23
"-93.953603, 29.896836",TX,Jefferson,Motiva Chemicals LLC,Motiva Polyethylene Manufacturing Complex,Motiva Polyethylene Complex - New LLDPE and HDPE Units,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,1095294.94,32032,88,53
"-102.5778, 31.76333",TX,Ector,Nacero TX 1 LLC,Nacero Penwell Facility,Nacero Penwell Facility - Initial Construction,Gas to Liquids Plant,Pre-construction,Petrochemicals and Plastics,5709961,,87,47
"-93.999326, 29.989254",TX,Jefferson,"Sunoco Partners Marketing & Terminals, L.P.",Nederland LPG Terminal,Nederland LPG Terminal - Permit Consolidation,Crude Oil Terminal,Partially operating,Oil,,39674,29,25
"-93.990839, 30.008583",TX,Jefferson,"Sunoco Partners Marketing & Terminals, L.P.",Nederland Terminal,Nederland Terminal Expansion,Crude Oil Terminal,Operating,Oil,98630.46,21567,21,26
"-102.3292, 31.8236",TX,Ector,"REXtac, LLC",Odessa Petrochemical Plant,REXtac Odessa - Propylene/Polypropylene Expansion,Propylene Dehydrogenation (PDH) Plant,Canceled,Petrochemicals and Plastics,2401820,,87,45
"-97.591388, 27.806666",TX,Nueces,Equistar Chemicals LP,Equistar Chemicals Corpus Christi Complex,Equistar Corpus Christi - Olefins Plant Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,2062725,17218,66,31
"-97.245153, 27.894913",TX,San Patricio,Occidental Chemical Corporation,Oxychem Ingleside Plant,Oxychem Ingleside - Ethylene Plant,Ethylene Cracker,Operating,Petrochemicals and Plastics,887882,5747,56,33
"-97.309752, 27.927344",TX,San Patricio,Gulf Coast Growth Ventures LLC,Gulf Coast Growth Ventures (GCGV) Petrochemical Complex,"GCGV Complex - Ethylene Plant, MEG Plant, LDPE Plant",Ethylene Cracker,Operating,Petrochemicals and Plastics,2954185.5,9740,54,28
"-95.195144, 29.276442",TX,Brazoria,"PetroLogistics PDH, LLC",PetroLogistics PDH Plant,PetroLogistics PDH Plant,Propylene Dehydrogenation (PDH) Plant,Pre-construction,Petrochemicals and Plastics,,254,36,19
"-96.54722, 28.68889",TX,Calhoun,Formosa Plastics Corporation,Formosa Point Comfort Plant,Point Comfort EDC/VCM Reactor,Plastic Resin Manufacturing,Announced,Petrochemicals and Plastics,,768,43,39
"-96.54722, 28.68889",TX,Calhoun,Formosa Plastics Corporation,Formosa Point Comfort Plant,Point Comfort Low Density Polyethylene Plant,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,67135,768,43,39
"-96.54722, 28.68889",TX,Calhoun,Formosa Plastics Corporation,Formosa Point Comfort Plant,Point Comfort Olefins 3 and PDH Plant,Propylene Dehydrogenation (PDH) Plant,Operating,Petrochemicals and Plastics,3175294,768,43,39
"-93.887862, 29.95801",TX,Jefferson,Bayport Polymers LLC (Baystar),Bayport Polymers Port Arthur Side Ethane Cracker,Baystar Ethane Cracker,Ethylene Cracker,Operating,Petrochemicals and Plastics,1232500.64,19681,46,40
"-93.958604, 29.786741",TX,Jefferson,"Port Arthur LNG, LLC",Port Arthur LNG Export Terminal,Port Arthur LNG Base Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Under construction,Liquefied Natural Gas,4659930,10,14,18
"-93.958604, 29.786741",TX,Jefferson,"Port Arthur LNG, LLC",Port Arthur LNG Export Terminal,Port Arthur LNG Expansion Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,3081270,10,14,18
"-93.96548, 29.887671",TX,Jefferson,Motiva Enterprises LLC,Motiva Port Arthur Refinery,Port Arthur Refinery - HCU2/DHT Expansion Project,Refinery,Operating,Oil,377117,,,
"-93.96548, 29.887671",TX,Jefferson,Motiva Enterprises LLC,Motiva Port Arthur Refinery,Port Arthur Refinery - Naphtha Growth and C9 Splitter Project,Refinery,Pre-construction,Oil,4191941,,,
"-95.066606, 29.625159",TX,Harris,"Praxair, Inc.",Praxair Clear Lake Plant,Praxair Clear Lake H2/CO Plant,Hydrogen Plant,Operating,Petrochemicals and Plastics,1148305,21184,39,14
"-104.022203, 31.922873",TX,Reeves,"Delaware Basin Midstream, LLC",Ramsey Gas Plant,Ramsey Gas Plant,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,568067,,,
"-97.80692, 27.186805",TX,Kleberg,Rio Bravo Pipeline Company,Rio Bravo Booster Station 2,Rio Bravo Booster 2 - Initial Construction,Compressor Station,Pre-construction,Natural Gas,140194,342,88,38
"-98.039412, 27.459947",TX,Kleberg,Rio Bravo Pipeline Company,Rio Bravo Compressor Station 1,Rio Bravo Compressor 1 - Initial Construction,Compressor Station,Pre-construction,Natural Gas,761403,,,
"-97.254722, 26.026111",TX,Cameron,"Rio Grande LNG, LLC",Rio Grande LNG Terminal,Rio Grande LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,6425399.94,,,
"-97.595213, 27.815592",TX,Nueces,"Epic Y-Grade Logistics, LP",Epic Y-Grade Logistics - Robstown Fractionator,Epic Robstown Fractionator - Initial Construction,Natural Gas Liquids Fractionator,Partially operating,Petrochemicals and Plastics,,20825,66,32
"-97.6248, 27.7588",TX,Nueces,Permico Midstream Partners LLC,Permico Robstown Fractionator,Permico Robstown - Fractionation Trains 1 & 2,Natural Gas Liquids Fractionator,Pre-construction,Petrochemicals and Plastics,,1462,86,59
"-96.55139, 28.6825",TX,Calhoun,"Max Midstream Texas, LLC",Seahawk Crude Condensate Terminal,Seahawk Terminal Expansion,Crude Oil Terminal,Pre-construction,Oil,103085,768,43,39
"-95.123333, 28.46645",TX,Brazoria,SPOT Terminal Services LLC,Sea Port Oil Terminal (SPOT) Deepwater Port,SPOT Deepwater Port - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,173257,,,
"-97.492572, 28.091248",TX,San Patricio,Cheniere Corpus Christi Pipeline LP,Sinton Compressor Station,Sinton Compressor Station - Initial Construction,Compressor Station,Operating,Natural Gas,450475,51,53,33
"-95.746643, 29.074952",TX,Brazoria,"Chevron Phillips Chemical Company, LP",Chevron Phillips Chemical Sweeny Old Ocean Facilities,CP Chem Sweeny/Old Ocean - New Polyethylene Plant and Nitrogen Recovery Unit,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,154911,1406,25,32
"-94.923369, 29.823097",TX,Harris,"Chevron Phillips Chemical Company, LP",Chevron Phillips Chemical - Cedar Bayou Plant,Cedar Bayou - C3 Splitter,Propylene Dehydrogenation (PDH) Plant,Announced,Petrochemicals and Plastics,,14072,47,23
"-94.92968, 29.35849",TX,Galveston,INEOS Styrolution America LLC,INEOS Texas City Chemical Plant,INEOS Texas City Boiler Project,Associated Electricity Generation,Pre-construction,Petrochemicals and Plastics,273232,26525,64,52
"-93.980178, 30.069539",TX,Orange,Port Arthur Pipeline LLC,North Compressor Station,North Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,208070,3037,13,37
"-95.029611, 28.555329",TX,Brazoria,"Texas GulfLink, LLC",Texas GulfLink Deepwater Port,Texas GulfLink Deepwater Port - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,8862,,,
"-95.472408, 28.991417",TX,Brazoria,"Texas GulfLink, LLC",Jones Creek Crude Storage Terminal,Jones Creek Crude Storage Terminal - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,888,8039,43,31
"-97.239703, 26.045442",TX,Cameron,Texas LNG Brownsville LLC,Brownsville LNG Terminal,Brownsville LNG Terminal - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,604087,8278,79,60
"-97.816542, 27.572982",TX,Nueces,Ticona Polymers Inc,Ticona Polymers Bishop Facility,Bishop Boiler Expansion,Methanol Plant,Canceled,Petrochemicals and Plastics,705543,3656,77,40
"-101.873333, 35.951666",TX,Moore,Valero Energy (formerly Diamond Shamrock),Valero McKee Refinery,Valero McKee Refinery.10374-01,Refinery,Operating,Oil,195625,22,44,21
"-93.969167, 29.855833",TX,Jefferson,Premcor Refining Group Inc.,Valero Port Arthur Refinery,Valero Port Arthur Refinery Expansion Project,Refinery,Under construction,Oil,2862639,4806,97,63
"-96.953232, 28.677429",TX,Victoria,INVISTA S.a.r.l.,INV Nylon Chemicals Americas Victoria Site,INV Victoria - Adipic Acid Unit Upgrade,Other Chemicals,Operating,Petrochemicals and Plastics,356450.59,489,62,52
"-96.953232, 28.677429",TX,Victoria,INVISTA S.a.r.l.,INV Nylon Chemicals Americas Victoria Site,INV Victoria - ADN Upgrade Project & ADN Retrofit Project,Other Chemicals,Operating,Petrochemicals and Plastics,723191,489,62,52
"-97.520811, 27.835326",TX,Nueces,"Flint Hills Resources, LP",FHR Corpus Christi West Plant,West Plant - Domestic Crude Project,Refinery,Operating,Oil,359991,6150,72,35
"-94.899946, 29.84055",TX,Chambers,Targa Midstream Services LLC,Targa Mont Belvieu Complex,Targa Fractionation Train 6,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,,7252,40,26
"-94.899946, 29.84055",TX,Chambers,Targa Midstream Services LLC,Targa Mont Belvieu Complex,"Targa Fractionation Trains 7, 8, and 9",Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,515420.98,7252,40,26
"-94.899946, 29.84055",TX,Chambers,Targa Midstream Services LLC,Targa Mont Belvieu Complex,Targa Fractionation Train 10,Natural Gas Liquids Fractionator,Pre-construction,Petrochemicals and Plastics,,7252,40,26
"-93.958333, 29.883333",TX,Jefferson,Motiva Enterprises LLC,Motiva Port Arthur Ethane Cracker,Port Arthur Ethane Cracker - Initial Construction,Ethylene Cracker,Pre-construction,Petrochemicals and Plastics,3311393,21376,90,55
"-95.746643, 29.074952",TX,Brazoria,"Chevron Phillips Chemical Company, LP",Chevron Phillips Chemical Sweeny Old Ocean Facilities,CP Chem Sweeny/Old Ocean - New 1-Hexene Unit,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,,1406,25,32
"-96.54722, 28.68889",TX,Calhoun,Formosa Plastics Corporation,Formosa Point Comfort Plant,Point Comfort High Density Polyethylene 3 (HDPE 3),Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,22000,768,43,39
"-95.014488, 29.600521",TX,Harris,Bayport Polymers LLC (Baystar),Bayport Polymers Pasadena Polyethylene Plant,Bay 3 Polyethylene Unit,Plastic Resin Manufacturing,Under construction,Petrochemicals and Plastics,,22790,28,18
"-97.816542, 27.572982",TX,Nueces,Ticona Polymers Inc,Ticona Polymers Bishop Facility,Bishop Methanol Plant,Methanol Plant,Canceled,Petrochemicals and Plastics,580613,3656,77,40
"-95.32537, 28.925868",TX,Brazoria,"Freeport LNG Development, L.P.",Freeport LNG - Liquefaction Facility,Freeport LNG - Train 4 Project,Liquefied Natural Gas Terminal or Liquefaction Plant,Pre-construction,Liquefied Natural Gas,487897,4845,79,55
"-97.6248, 27.7588",TX,Nueces,Permico Midstream Partners LLC,Permico Robstown Fractionator,Permico Robstown - Fractionation Train 3,Natural Gas Liquids Fractionator,Announced,Petrochemicals and Plastics,,1462,86,59
"-97.6248, 27.7588",TX,Nueces,Permico Midstream Partners LLC,Permico Robstown Fractionator,Permico Robstown - Fractionation Train 4,Natural Gas Liquids Fractionator,Announced,Petrochemicals and Plastics,,1462,86,59
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - Frac IX,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,,2380,31,23
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - Frac X,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,,2380,31,23
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - Frac XI,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,,2380,31,23
"-97.418164, 27.807565",TX,Nueces,City of Corpus Christi,Inner Harbor Desalination Plant,Inner Harbor Desalination Plant - Initial Construction,Desalination Plant,Pre-construction,Other,,42760,87,63
"-97.243, 27.896",TX,San Patricio,City of Corpus Christi,City of Corpus Christi La Quinta Channel Desalination Plant,La Quinta Channel Desalination Plant - Initial Construction,Desalination Plant,Pre-construction,Other,,6275,56,33
"-95.746643, 29.074952",TX,Brazoria,"Chevron Phillips Chemical Company, LP",Chevron Phillips Chemical Sweeny Old Ocean Facilities,CP Chem Sweeny/Old Ocean - Polyethylene Unit No. 40 Upgrade,Plastic Resin Manufacturing,Pre-construction,Petrochemicals and Plastics,31433,1406,25,32
"-95.069241, 29.700475",TX,Harris,Air Products LLC,Harris County CO and H2 Manufacturing Facility,Harris County CO and H2 Manufacturing Facility - Initial Construction,Hydrogen Plant,Announced,Other,,28334,38,20
"-94.70139, 31.243059",TX,Angelina,"Natural Gas Pipeline Company of America, LLC",NGPL Compressor Station 303,NGPL Gulf Coast Southbound Project - NGPL Compressor Station 303,Compressor Station,Operating,Natural Gas,174.3,3883,29,24
"-96.922536, 28.686168",TX,Victoria,"Natural Gas Pipeline Company of America, LLC",NGPL Compressor Station 300,NGPL Gulf Coast Southbound Project - NGPL Compressor Station 300,Compressor Station,Operating,Natural Gas,-23515,1585,76,54
"-94.159242, 33.078935",TX,Cass,"Natural Gas Pipeline Company of America, LLC",NGPL Compressor Station 394,NGPL Gulf Coast Southbound Project - NGPL Compressor Station 394,Compressor Station,Operating,Natural Gas,173.4,4411,27,44
"-93.931324, 29.761054",TX,Jefferson,Golden Pass LNG Terminal LLC,Sabine Compressor Station (GPX MP 01),Sabine Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,264,252,14,18
"-93.982756, 30.057767",TX,Orange,Golden Pass Pipeline LLC,Vidor Compressor Station (GPX MP 33),Vidor Compressor - Initial Construction,Compressor Station,Pre-construction,Natural Gas,170656.21,1890,18,24
"-97.786294, 26.609886",TX,Kenedy,Rio Bravo Pipeline Company,Rio Bravo Compressor Station 2,Rio Bravo Compressor 2 - Initial Construction,Compressor Station,Pre-construction,Natural Gas,761764,26,88,44
"-93.96228, 29.792375",TX,Jefferson,Port Arthur Pipeline LLC,"South Compressor Station ",South Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,657,10,14,18
"-94.900322, 29.380917",TX,Galveston,Air Products Industrial Gas LLC,Gulf Coast Ammonia - Air Products Texas City Facility,Gulf Coast Ammonia ASU - Initial Construction,Hydrogen Plant,Pre-construction,Synthetic Fertilizers,,26978,58,46
"-102.3292, 31.8236",TX,Ector,"REXtac, LLC",Odessa Petrochemical Plant,REXtac Odessa - APAO Line 3 Expansion Project,Propylene Dehydrogenation (PDH) Plant,Operating,Petrochemicals and Plastics,33597,,87,45
"-95.37394, 29.093024",TX,Brazoria,SPOT Terminal Services LLC,Oyster Creek Terminal,Oyster Creek Terminal - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,,3530,52,25
"-94.899946, 29.84055",TX,Chambers,Targa Midstream Services LLC,Targa Mont Belvieu Complex,Mont Belvieu Terminal Ethylene Unit Expansion,Ethylene Cracker,Operating,Petrochemicals and Plastics,,7252,40,26
"-94.922965, 29.848682",TX,Chambers,Lone Star NGL Fractionators LLC,Lone Star NGL Frac IV and V,Lone Star NGL Frac IV and V,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,,2759,45,22
"-94.929298, 29.848083",TX,Chambers,Lone Star NGL Fractionators LLC,Lone Star NGL Frac VI and VIII,Lone Star NGL Frac VI and VIII,Natural Gas Liquids Fractionator,Partially operating,Petrochemicals and Plastics,,2887,48,20
"-94.922166, 29.843968",TX,Chambers,Lone Star NGL Fractionators LLC,Lone Star NGL Frac VII,Lone Star NGL Frac VII,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,,4512,48,25
"-98.836452, 27.439146",TX,Duval,Raven Petroleum LLC,South Texas Energy Complex,South Texas Energy Complex - Initial Construction,Refinery,Operating,Oil,,324,96,38
"-94.896099, 29.850984",TX,Chambers,Lone Star NGL Fractionators LLC,Lone Star Mont Belvieu Fractionator,Lone Star Frac III,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,218220,6918,34,25
"-97.425, 27.924722",TX,San Patricio,Bluewater Texas Terminals LLC,Midway Terminal,Midway Terminal - Initial Construction,Crude Oil Terminal,Pre-construction,Oil,30057,87,40,14
"-101.7756, 31.8445",TX,"Midland, Glasscock","Navitas Midstream Midland Basin, LLC",Taylor Gas Plant,Taylor Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,8,66,28
"-101.7782, 31.8522",TX,Midland,"Navitas Midstream Midland Basin, LLC",Newberry Gas Plant,Newberry Gas Plant - Trains 1 and 2,Gas Processing Plant,Operating,Natural Gas,,5,76,19
"-101.981975, 31.67121",TX,Midland,Targa Pipeline Mid-Continent WestTex LLC,Legacy Gas Plant,Legacy Gas Plant - Initial Construction,Gas Processing Plant,Pre-construction,Natural Gas,,99,51,18
"-94.912219, 29.857292",TX,Chambers,Enterprise Products Operating LLC,Enterprise Mont Belvieu Complex,Enterprise Mont Belvieu - MTBV Splitter V,Propylene Dehydrogenation (PDH) Plant,Announced,Petrochemicals and Plastics,,2380,31,23
"-95.066829, 29.621261",TX,Harris,Celanese Corporation,Celanese Clear Lake Plant,Clear Lake 2021 Methanol Project,Methanol Plant,Pre-construction,Petrochemicals and Plastics,,21967,36,13
"-95.066829, 29.621261",TX,Harris,Celanese Corporation,Celanese Clear Lake Plant,Clear Lake Methanol Expansion and CO2 Capture Project,Methanol Plant,Announced,Petrochemicals and Plastics,,21967,36,13
"-95.18359, 29.614767",TX,Harris,Enterprise Products Operating LLC,Enterprise Crude Houston (ECHO) Terminal,ECHO Terminal - SPOT DWP Expansion Project,Crude Oil Terminal,Pre-construction,Oil,,76186,76,36
"-101.763099, 31.857994",TX,Glasscock,Navitas Midstream,Trident Gas Plant,Trident Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,5,76,19
"-95.020661, 29.740687",TX,Harris,ExxonMobil,Baytown Technology and Engineering Complex,Baytown Chemical Recycling Plant,Plastics-to-Fuel Plant,Announced,Petrochemicals and Plastics,,29716,75,43
,TX,Midland,Pinnacle Midstream II,Dos Picos Gas Plant,Dos Picos Gas Plant - Initial Construction,Gas Processing Plant,Announced,Natural Gas,,,,
"-104.187617, 31.978914",TX,Culberson,"MarkWest Energy West Texas Gas Company, LLC",Preakness Gas Plant,Preakness Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,,,
"-103.704396, 31.982053",TX,Loving,Markwest Tornado GP LLC,Markwest Tornado Gas Plant,Tornado I,Gas Processing Plant,Operating,Natural Gas,,5,19,19
"-103.704396, 31.982053",TX,Loving,Markwest Tornado GP LLC,Markwest Tornado Gas Plant,Tornado II,Gas Processing Plant,Pre-construction,Natural Gas,,5,19,19
"-94.890113, 29.860226",TX,Chambers,ONEOK Hydrocarbon LP,ONEOK Mont Belvieu NGL Fractionation Plant,ONEOK Mont Belvieu - Fractionation Train 2,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,232635,5428,23,22
"-94.890113, 29.860226",TX,Chambers,ONEOK Hydrocarbon LP,ONEOK Mont Belvieu NGL Fractionation Plant,ONEOK Mont Belvieu - Fractionation Trains 5 & 6,Natural Gas Liquids Fractionator,Pre-construction,Petrochemicals and Plastics,,5428,23,22
"-104.05687, 31.9925",TX,Culberson,Delaware Processing LLC,Tiger Plant,Tiger Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,,,
"-97.206504, 27.824402",TX,San Patricio,Moda Ingleside LLC,Enbridge Ingleside Energy Center,Enbridge Ingleside Energy Center - Initial Construction,Crude Oil Terminal,Partially operating,Oil,140944.17,3185,54,40
,TX,Galveston,Sandpiper Chemicals LLC,Texas City Methanol Plant,Texas City Methanol Plant - Initial Construction,Methanol Plant,Announced,Petrochemicals and Plastics,,,,
"-95.014589, 29.68211",TX,Harris,Enterprise Products Operating LLC,Morgan's Point Complex,Morgan's Point Expansion Projects,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,,12120,53,37
,TX,TBD,Primus Green Energy Inc,Primus Green Energy - Texas GTL Plant,Primus Energy GTL Plant - Initial Construction,Gas to Liquids Plant,Announced,Petrochemicals and Plastics,,,,
"-94.923882, 29.84787",TX,Chambers,Energy Transfer Mont Belvieu NGLs LP,Lone Star Alkylate Production Facility,Lone Star Alkylate Production Facility - Initial Construction,Other Chemicals,Pre-construction,Petrochemicals and Plastics,,3452,46,23
"-97.072603, 27.847634",TX,Nueces,Port of Corpus Christi Authority of Nueces County,Harbor Island Seawater Desalination Plant,Harbor Island Seawater Desalination Plant - Initial Construction,Desalination Plant,Pre-construction,Other,,,13,28
"-94.040822, 30.011585",TX,Jefferson,"Arbor Renewable Gasoline – Phase 1, LLC",Spindletop Renewable Gasoline Refinery,Spindletop Renewable Gasoline Refinery - Initial Construction,Renewable Diesel or Gasoline Refinery,Announced,Other,,16198,48,28
"-96.632031, 28.916294",TX,Jackson,"Max Midstream Texas, LLC",Edna Terminal,Edna Terminal - Initial Construction,Crude Oil Terminal,Under construction,Oil,19585,513,35,12
"-97.288937, 27.899125",TX,San Patricio,Port of Corpus Christi Authority of Nueces County,Port of Corpus Christi La Quinta Channel Seawater Desalination Plant,Port of Corpus Christi La Quinta Channel Seawater Desalination Plant - Initial Construction,Desalination Plant,Pre-construction,Other,,17339,49,26
"-97.254722, 26.026111",TX,Cameron,"Rio Grande LNG, LLC",Rio Grande LNG Terminal,Rio Bravo Compressor 3 - Initial Construction,Compressor Station,Pre-construction,Natural Gas,17300,,,
"-97.805563, 27.223593",TX,Kenedy,Rio Bravo Pipeline Company,Rio Bravo Booster Station 1,Rio Bravo Booster 1 - Initial Construction,Compressor Station,Pre-construction,Natural Gas,140196,343,88,38
"-102.699779, 31.775415",TX,Ector,"1PointFive P1, LLC",Permian Basin Direct Air Capture (DAC) Facility,1P5 DAC 1 Project,Other Inorganic Gases,Announced,Other,,,,
"-95.06111, 29.70639",TX,Harris,Equistar Chemicals LP,Equistar La Porte Complex,Equistar La Porte - LB-1 Polyethylene Unit,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,,16089,40,23
"-93.69852, 30.723055",TX,Newton,Texas Renewable Fuels LLC,Texas Renewable Fuels Refinery,Texas Renewable Fuels - Phase I,Renewable Diesel or Gasoline Refinery,Announced,Other,,391,54,23
"-93.69852, 30.723055",TX,Newton,Texas Renewable Fuels LLC,Texas Renewable Fuels Refinery,Texas Renewable Fuels - Phase II,Renewable Diesel or Gasoline Refinery,Announced,Other,,391,54,23
,TX,TBD,"Max Midstream Texas, LLC",77 Station Terminal,77 Station - Initial Construction,Crude Oil Terminal,Announced,Oil,,,,
"-93.961111, 29.85091",TX,Jefferson,Premcor Refining Group Inc.,Diamond Green Diesel Port Arthur Renewal Fuels Plant,Diamond Green Diesel Renewal Fuels Plant - Initial Construction,Renewable Diesel or Gasoline Refinery,Under construction,Other,300331,4743,98,64
"-101.652353, 31.639708",TX,Reagan,Targa Pipeline Mid-Continent WestTex LLC,Gateway Gas Plant,Gateway Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,,40,43
"-101.652353, 31.639708",TX,Reagan,Targa Pipeline Mid-Continent WestTex LLC,Gateway Gas Plant,Heim Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,,,40,43
"-97.506679, 27.817729",TX,Nueces,Buckeye Texas Processing LLC,EF90 Corpus Christi Condensate Splitter and Terminal Facility,Buckeye Texas Processing - Third Splitter Project,Condensate Splitter,Operating,Oil,62264,7432,80,47
"-96.080842, 28.798442",TX,Matagorda,"HIF USA, LLC",HIF USA eFuel Complex,Project Helix,Other Chemicals,Announced,Other,,,,
"-110.328596, 40.357599",UT,Duchesne,Kinder Morgan Altamont LLC,Altamont Main Gas Processing Plant,Altamont Main Gas Processing Plant - 2013 Expansion Project,Gas Processing Plant,Operating,Natural Gas,28095,,5,22
"-110.328596, 40.357599",UT,Duchesne,Kinder Morgan Altamont LLC,Altamont Main Gas Processing Plant,Altamont Main Gas Processing Plant - Flare Replacement Project,Gas Processing Plant,Under construction,Natural Gas,34471,,5,22
"-111.905138, 40.88452",UT,Davis,HollyFrontier Tulsa Refining LLC,Woods Cross Refinery,Heavy Crude Processing Project.10186-01,Refinery,Operating,Oil,279610,75925,14,21
"-112.077562, 40.732158",UT,Salt Lake,Dominion Energy Utah,Magna LNG Facility,Magna LNG Facility - Initial Construction,Liquefied Natural Gas Storage Facility,Under construction,Liquefied Natural Gas,54956,34946,40,32
"-109.899293, 40.22067",UT,Uintah,Crescent Point Energy U.S. Corp,North Randlett Compressor Station,North Randlett Compressor Station (1),Compressor Station,Under construction,Natural Gas,61678,129,52,48
"-111.924305, 40.827603",UT,Davis,Chevron Products Company,Salt Lake City Refinery,Salt Lake City Refinery - SLR Retrofit Project and Reformer Compressor Limits.10078-01,Refinery,Operating,Oil,988625,46396,37,30
"-112.564406, 39.498704",UT,Millard,NGL Energy Partners LLC,Sawtooth NGL Storage Facility,Sawtooth NGL Storage Facility - Initial Construction,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,167,,,
